character,traditional_character,alternate_characters,pinyin,hsk_level,frequency,definition
"孩","","","hái","2","533","baby, child; children"
"验","驗","驗","yàn","4","534","test, examine, inspect; verify"
"责","責","責","zé","4","535",""
"营","營","營","yíng","5","536","encampment, barracks; manage"
"星","","","xīng","1","537","a star, planet; any point of light"
"够","夠","夠","gòu","4","538","enough, adequate"
"章","","","zhāng","4","539","composition; chapter, section"
"音","","","yīn","3","540","sound, tone, pitch, pronunciation"
"跟","","","gēn","3","541","heel; to follow, accompany; with"
"志","","","zhì","4","542","purpose, will, determination; annals"
"底","","","dǐ","4","543","bottom, underneath, underside"
"站","","","zhàn","2","544","stand up; a stand, station"
"严","嚴","嚴","yán","4","545","strict, rigorous, rigid; stern"
"巴","","","bā","5","546","greatly desire, anxiously hope"
"例","","","lì","4","547","precedent, example; regulation"
"防","","","fáng","5","548","defend; prevent; embankment"
"族","","","zú","4","549","a family clan, ethnic group, tribe"
"供","","","gōng","4","550","supply, provide for; offer in worship"
"效","","","xiào","4","551","result, effect; effectiveness"
"续","續","續","xù","4","552","continue, carry on; succeed"
"施","","","shī","5","553","grant, bestow; give; act; name"
"留","","","liú","3","554","stop, halt; stay, detain, keep"
"讲","講","講","jiǎng","3","555","explain; discuss; talk"
"型","","","xíng","5","556","pattern, model, type; law; mold"
"料","","","liào","3","557","consider, conjecture; materials, ingredients"
"终","終","終","zhōng","3","558","end; finally, in the end"
"答","","","dá","3","559","answer, reply; return; assent to"
"紧","緊","緊","jǐn","4","560","tense, tight, taut; firm, secure"
"黄","黃","黃","huáng","3","561","yellow; surname"
"绝","絕","絕","jué","4","562","to cut, sever, break off, terminate"
"奇","","","qí","3","563","strange, unusual, uncanny, occult"
"察","","","chá","4","564","examine, investigate; notice"
"母","","","mǔ","4","565","mother; female elders; female"
"京","","","jīng","1","566","capital city"
"段","","","duàn","3","567","section, piece, division"
"依","","","yī","5","568","rely on, be set in; consent, obey a wish"
"批","","","pī","4","569","comment, criticize; wholesale"
"群","羣","羣","qún","5","570","(same as"
"项","項","項","xiàng","5","571","neck, nape of neck; sum; funds"
"故","","","gù","3","572","ancient, old; reason, because"
"按","","","àn","4","573","put hand on, press down with hand"
"河","","","hé","3","574","river; stream; yellow river"
"米","","","mǐ","1","575","hulled or husked uncooked rice"
"围","圍","圍","wéi","4","576","surround, encircle, corral"
"江","","","jiāng","4","577","large river; yangzi; surname"
"织","織","織","zhī","5","578","weave, knit; organize, unite"
"害","","","hài","3","579","injure, harm; destroy, kill"
"斗","鬥","鬥","dòu","5","580","Chinese peck; liquid measure"
"双","雙","雙","shuāng","3","581","set of two, pair, couple; both"
"境","","","jìng","3","582","boundary, frontier; area, region"
"客","","","kè","1","583","guest, traveller; customer"
"纪","紀","紀","jì","4","584","record, annal, historical account"
"采","採","採","cǎi","5","585","collect, gather; pick, pluck"
"举","舉","舉","jǔ","4","586","raise, lift up; recommend"
"杀","殺","殺","shā","5","587","kill, slaughter, murder; hurt"
"攻","","","gōng","6","588","attack, assault; criticize"
"父","","","fù","4","589","father; KangXi radical 88"
"苏","蘇","蘇","sū","6","590",""
"密","","","mì","4","591","dense, thick, close; intimate"
"低","","","dī","4","592","low; to lower, hang, bend, bow"
"朝","","","cháo","5","593","dynasty; morning"
"友","","","yǒu","1","594","friend, companion; fraternity"
"诉","訴","訴","sù","2","595","accuse; sue; inform; narrate"
"止","","","zhǐ","4","596","stop, halt, desist; detain"
"细","細","細","xì","4","597","fine, tiny; slender, thin"
"愿","願","願","yuàn","3","598","sincere, honest, virtuous"
"千","","","qiān","2","599","thousand; many, numerous; very; (Cant.) a cheater, swindler"
"值","","","zhí","4","600","price"
"仍","","","réng","4","601","yet, still, as ever; again; keep -ing, continuing"
"男","","","nán","2","602","male, man; son; baron; surname"
"钱","錢","錢","qián","1","603","money, currency, coins"
"破","","","pò","4","604","break, ruin, destroy; rout"
"网","網","網","wǎng","3","605","net; network; KangXi radical 122"
"热","熱","熱","rè","1","606","hot; heat; fever; restless; zeal"
"助","","","zhù","2","607","help, aid, assist"
"倒","","","dào","4","608","fall over; lie down; take turns"
"育","","","yù","3","609","produce, give birth to; educate"
"属","屬","屬","shǔ","5","610","class, category, type; belong to"
"坐","","","zuò","1","611","sit; seat; ride, travel by"
"帝","","","dì","6","612","supreme ruler, emperor; god"
"限","","","xiàn","5","613","boundary, limit, line"
"船","","","chuán","3","614","ship, boat, vessel"
"脸","臉","臉","liǎn","3","615","face; cheek; reputation"
"职","職","職","zhí","4","616","duty, profession; office, post"
"速","","","sù","4","617","quick, prompt, speedy"
"刻","","","kè","3","618","carve, engrave; quarter hour"
"乐","樂","樂","lè","2","619","happy, glad; enjoyable; music"
"否","","","fǒu","4","620","not, no, negative; final particle"
"刚","剛","剛","gāng","3","621","hard, tough, rigid, strong"
"威","","","wēi","5","622","pomp, power; powerful; dominate"
"毛","","","máo","4","623","hair, fur, feathers; coarse"
"状","狀","狀","zhuàng","5","624","form; appearance; shape; official"
"率","","","lǜ","5","625","to lead; ratio; rate; limit"
"甚","","","shén","4","626","great extent; considerably"
"独","獨","獨","dú","5","627","alone, single, solitary, only"
"球","","","qiú","2","628","ball, sphere, globe; round"
"般","","","bān","3","629","sort, manner, kind, category"
"普","","","pǔ","4","630","universal, general, widespread"
"怕","","","pà","3","631","to fear, be afraid of; apprehensive"
"弹","彈","彈","dàn","4","632","pellet, bullet, shot, shell"
"校","","","xiào","1","633","school; military field officer"
"苦","","","kǔ","4","634","bitter; hardship, suffering"
"创","創","創","chuàng","5","635","establish, create; knife cut"
"假","","","jiǎ","3","636","falsehood, deception; vacation"
"久","","","jiǔ","3","637","long time (ago); time passage, grow late"
"错","錯","錯","cuò","2","638","error, blunder, mistake; wrong"
"承","","","chéng","5","639","inherit, receive; succeed"
"印","","","yìn","4","640","print, seal, stamp, chop, mark"
"晚","","","wǎn","2","641","night, evening; late"
"兰","蘭","蘭","lán","","642","orchid; elegant, graceful"
"试","試","試","shì","2","643","test, try, experiment"
"股","","","gǔ","5","644","thighs, haunches, rump; share"
"拿","","","ná","3","645","take, hold, grasp; bring; with"
"脑","腦","腦","nǎo","1","646","brain"
"预","預","預","yù","4","647","prepare, arrange; in advance"
"谁","誰","誰","shuí","1","648","who? whom? whose? anyone?"
"益","","","yì","5","649","profit, benefit; advantage"
"阳","陽","陽","yáng","3","650",""
"若","","","ruò","6","651","if, supposing, assuming; similar"
"哪","","","nǎ","1","652","which? where? how?"
"微","","","wēi","4","653","small, prefix micro-, trifling"
"尼","","","ní","","654","Buddhist nun; transliteration"
"继","繼","繼","jì","4","655","continue, maintain, carry on"
"送","","","sòng","2","656","see off, send off; dispatch, give"
"急","","","jí","3","657","quick, quickly; urgent, pressing"
"血","","","xuè","5","658","blood; radical number 143"
"惊","驚","驚","jīng","4","659","frighten, surprise, startle"
"伤","傷","傷","shāng","4","660","wound, injury; fall ill from"
"素","","","sù","5","661","white (silk); plain; vegetarian; formerly; normally"
"药","藥","藥","yào","2","662","leaf of Dahurian angelica plant; medicine"
"适","適","適","shì","4","663","go, reach; appropriate, suitable"
"波","","","bō","6","664","waves, breakers; undulations"
"夜","","","yè","5","665","night, dark; in night; by night"
"省","","","shěng","4","666","province; save, economize"
"初","","","chū","5","667","beginning, initial, primary"
"喜","","","xǐ","1","668","like, love, enjoy; joyful thing"
"卫","衛","衛","wèi","4","669","guard, protect, defend"
"源","","","yuán","5","670","spring; source, head; surname"
"食","","","shí","5","671","eat; meal; food; KangXi radical number 184"
"险","險","險","xiǎn","4","672","narrow pass, strategic point"
"待","","","dài","5","673","treat, entertain, receive; wait"
"述","","","shù","5","674","narrate, state, express"
"陆","陸","陸","lù","5","675","land, continental; army"
"习","習","習","xí","1","676","practice; flapping wings"
"置","","","zhì","5","677","place, lay out; set aside"
"居","","","jū","3","678","live, dwell, reside, sit"
"劳","勞","勞","láo","5","679","labor, toil, do manual work"
"财","財","財","cái","5","680","wealth, valuables, riches"
"环","環","環","huán","3","681","jade ring or bracelet; ring"
"排","","","pái","4","682","row, rank, line"
"福","","","fú","4","683","happiness, good fortune, blessing"
"纳","納","納","nà","5","684","admit, take, receive, accept"
"欢","歡","歡","huān","1","685","happy, pleased, glad; joy; enjoy"
"雷","","","léi","5","686","thunder"
"警","","","jǐng","4","687","guard, watch; alert, alarm"
"获","獲","獲","huò","4","688","obtain, get, receive; seize"
"模","","","mó","5","689","model, standard, pattern; copy"
"充","","","chōng","5","690","fill, be full, supply"
"负","負","負","fù","4","691","load, burden; carry, bear"
"云","雲","雲","yún","4","692","say, speak; clouds"
"停","","","tíng","4","693","stop, suspend, delay; suitable"
"木","","","mù","5","694","tree; wood, lumber; wooden"
"游","遊","遊","yóu","2","695","to swim; float, drift; wander, roam"
"龙","龍","龍","lóng","5","696","dragon; symbolic of emperor"
"树","樹","樹","shù","3","697","tree; plant; set up, establish"
"疑","","","yí","4","698","doubt, question, suspect"
"层","層","層","céng","3","699","storey, layer, floor, stratum"
"冷","","","lěng","1","700","cold, cool; lonely"
"洲","","","zhōu","4","701","continent; island; islet"
"冲","衝","衝","chōng","5","702","soar; pour boiling water over"
"射","","","shè","5","703","shoot, eject, issue forth, emit"
"略","","","lüè","5","704","approximately, roughly; outline"
"范","範","範","fàn","5","705","surname; bee-like insect"
"竟","","","jìng","4","706","finally, after all, at last"
"句","","","jù","3","707","sentence"
"室","","","shì","2","708","room, home, house, chamber"
"异","異","異","yì","6","709","different, unusual, strange"
"激","","","jī","4","710","arouse, excite, incite; quickly"
"汉","漢","漢","hàn","1","711","Chinese people; Chinese language"
"村","","","cūn","5","712","village, hamlet; uncouth, vulgar"
"哈","","","hā","5","713","sound of laughter"
"策","","","cè","6","714","scheme, plan; to whip; urge"
"演","","","yǎn","4","715","perform, put on; exercise"
"简","簡","簡","jiǎn","3","716","simple, terse, succinct, a letter"
"卡","","","kǎ","3","717","card, punch card; calorie"
"罪","","","zuì","6","718","crime, sin, vice; evil; hardship"
"判","","","pàn","4","719","judge; discriminate; conclude"
